MaMH,TenMH,TC
BSA2002,Nguyên lý marketing,3
ELT2028,Chuyên nghiệp trong công nghệ,2
ELT2029,Toán trong Công nghệ,3
ELT2031,Mô hình hóa và mô phỏng,2
ELT2035,Tín hiệu và hệ thống,3
ELT3144,Xử lý tín hiệu số,4
FLF2101,Tiếng Anh cơ sở 1,4
FLF2102,Tiếng Anh cơ sở 2,5
FLF2103,Tiếng Anh cơ sở 3,5
FLF2104,Tiếng Anh cơ sở 4,5
FLF2105,Tiếng Anh cơ sở 5,5
HIS1002,Đường lối cách mạng của Đảng Cộng sản Việt Nam,3
INE1050,Kinh tế vi mô,3
INT1003,Tin học cơ sở 1,2
INT1006,Tin học cơ sở 4,3
INT1050,Toán học rời rạc,4
INT2020,Phân tích thiết kế các hệ thống thông tin,3
INT2044,Lý thuyết thông tin,3
INT2202,Lập trình nâng cao,3
INT2203,Cấu trúc dữ liệu và giải thuật,3
INT2204,Lập trình hướng đối tượng,3
INT2205,Kiến trúc máy tính,3
INT2206,Nguyên lý hệ điều hành,3
INT2207,Cơ sở dữ liệu,3
INT2208,Công nghệ phần mềm,3
INT2209,Mạng máy tính,3
INT3011,Các vấn đề hiện đại của Khoa học Máy tính,3
INT3109,Thu thập và phân tích yêu cầu,3
INT3110,Phân tích và thiết kế hướng đối tượng,3
INT3111,Quản lý dự án phần mềm,3
INT3115,Thiết kế giao diện người dùng,3
INT3117,Kiểm thử và đảm bảo chất lượng phần mềm,3
INT3120,Phát triển ứng dụng di động,3
INT3121,Các chuyên đề trong Khoa học Máy tính,3
INT3202,Hệ quản trị cơ sở dữ liệu,3
INT3206,Cơ sở dữ liệu phân tán,3
INT3207,Kho dữ liệu,3
INT3209,Khai phá dữ liệu,3
INT3213,Nhập môn an toàn thông tin,3
INT3216,"Phân tích, đánh giá hiệu năng hệ thống máy tính",3
INT3222,Cơ sở dữ liệu đa phương tiện,3
INT3301,Thực hành hệ điều hành mạng,3
INT3303,Mạng không dây,3
INT3304,Lập trình mạng,3
INT3305,Truyền thông đa phương tiện,3
INT3306,Phát triển ứng dụng Web,3
INT3307,An toàn và an ninh mạng,3
INT3309,Phân tích và thiết kế mạng máy tính,3
INT3310,Quản trị mạng,3
INT3401,Trí tuệ nhân tạo,3
INT3402,Chương trình dịch,3
INT3403,Đồ họa máy tính,3
INT3404,Xử lý ảnh,3
INT3405,Học máy,3
INT3406,Xử lý ngôn ngữ tự nhiên,3
INT3407,Tin sinh học,3
INT3409,Rô-bốt,3
INT3411,Xử lý tiếng nói,3
INT3412,Thị giác máy,3
INT3414,Chuyên đề công nghệ,3
INT3501,Khoa học dịch vụ,3
INT3505,Kiến trúc hướng dịch vụ,3
INT3506,Các hệ thống thương mại điện tử,3
INT3507,Các vấn đề hiện đại của Công nghệ thông tin,3
INT3508,Thực tập chuyên ngành,3
INT3509,Dự án,4
INT3512,Lập trình thi đấu,3
INT4050,Khóa luận tốt nghiệp,10
MAT1041,Giải tích 1,4
MAT1042,Giải tích 2,4
MAT1093,Đại số,4
MAT1099,Phương pháp tính,2
MAT1100,Tối ưu hóa,2
MAT1101,Xác suất thống kê,3
PHI1004,Những nguyên lý cơ bản của Chủ nghĩa Mác-Lênin 1,2
PHI1005,Những nguyên lý cơ bản của Chủ nghĩa Mác-Lênin 2,3
PHY1100,Cơ - Nhiệt,3
PHY1103,Điện và Quang,3
POL1001,Tư tưởng Hồ Chí Minh,2
